Agreement_id,Jorunal_date,dept_nbr,Journal_store,transacion_id,Vendor_id,Journal_amount,Journal_credit_account,Journal_debit_account,posting_response_code,posting_timestamp,last_changed_iser_id
1001,2026-08-11,24,111,15c42d84fa0345f6a063,501,7900.65,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-12,25,104,9b204397402440bc88a7,501,7702.02,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-13,15,105,d1774343e3934d71b171,501,2820.76,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-14,10,103,351a73c684b5467d8336,501,4024.97,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-15,22,114,0b2fa1096b5a47aba9e0,501,7723.48,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-16,22,112,8343c44be50a4c6d92d8,501,2763.58,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-17,21,101,a81a1201288e45dd9a42,501,1448.5,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-18,14,114,f251fcc1b3e04e4f9b79,501,892.3,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-19,29,115,7cb44279ab8f4f47a51d,501,291.16,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-20,27,119,03c11de0fd1d42618487,501,36.77,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-21,12,119,57bcdf7e62c24045b20a,501,1150.11,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-22,13,102,b0bd901408474ec68a83,501,3159.12,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-23,28,116,66f19eb40b6d43858b72,501,486.87,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-24,21,120,05fd8240bb5e429487d6,501,3253.38,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-25,24,116,3899482b251645149496,501,910.35,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-26,24,104,e8625bb011f0464cbcc0,501,3404.86,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-27,13,104,15abdf4f2b6d439ca82c,501,3178.06,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-28,28,116,0f90e9a7375f476cadc1,501,2567.12,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-29,18,109,1189f3cb39324154b873,501,2400.78,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-30,28,101,8028c80179c646bea745,501,5083.82,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-31,24,119,af5dd771f932450a9706,501,2009.16,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-01,13,119,f310d233a3a9436f992f,501,2190.74,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-02,15,109,4d30d0fb5f7e4531bb01,501,8899.83,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-03,17,110,9d2cfd6239b2488e9f83,501,256.08,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-04,17,117,55400eb711674f76ab26,501,1517.31,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-05,28,117,f453cdefdb654c8b9f6c,501,4733.98,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-06,11,103,a087d18e88764754b4ea,501,4156.13,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-07,20,113,784efa0542934289860b,501,2683.54,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-08,20,101,b7bb1e8c79dd43de873e,501,2525.68,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-09-09,25,113,9978892a34f9400db5c8,501,5605.76,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-11,10,110,4d1955cec42a43c7a396,501,887.08,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-12,14,109,eeb680ff7a3945beb0a4,501,723.36,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-13,25,115,3f97f2c836224f8a8d82,501,3811.89,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-14,13,107,bc288bd333754992ad15,501,646.96,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-15,10,120,39f883de96d148c3817e,501,1504.75,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-16,18,107,2e247a162f4b4c7180ac,501,3740.39,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-17,29,105,ff4b248f3d8c4ba088c0,501,3504.34,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-18,29,107,43080559fe574913afdb,501,1265.01,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-19,16,103,131fc889471f4dc28c3d,501,72.39,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-20,20,109,e412c0b42bc0489d8914,501,1046.96,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-21,12,104,a17f08eccc3d488bb7ed,501,592.44,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-22,27,116,8ac2babcbec5465ea1d9,501,1274.8,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-23,26,101,0fec4a771219480ab9f0,501,1941.54,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-24,12,120,215f5b8f07e94eb0b219,501,4707.92,,,0,2026-09-12 23:05:03,MOCKLOAD
1001,2026-08-25,18,105,75fc5bb940a14cd6bb8e,501,1859.83,,,0,2026-09-12 23:05:03,MOCKLOAD
