Agreement_id,Vendor_id,purchase_order_id,sales_date,item_nbr,store_nbr,process_date,seq_nbr,item_cost,Agreement_allowance_type,dept_nbr,quantity,canculated_amt,allowance_amount,bill_nbr,Bill_date,Store_Alloc_ind,Store_Alloc_date,Last_change_user_id,Last_change_timestamp
1001,501,100101001,2026-08-11,100101,111,2026-08-11,1,464.4,MK,24,74,34365.6,7900.65,10011,2026-08-16,Y,2026-08-11,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101002,2026-08-12,100101,104,2026-08-12,2,356.4,MK,25,94,33501.6,7702.02,10011,2026-08-16,Y,2026-08-12,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101003,2026-08-13,100101,105,2026-08-13,3,172.81,MK,15,71,12269.51,2820.76,10011,2026-08-16,Y,2026-08-13,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101004,2026-08-14,100101,103,2026-08-14,4,186.25,MK,10,94,17507.5,4024.97,10011,2026-08-16,Y,2026-08-14,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101005,2026-08-15,100101,114,2026-08-15,5,399.94,MK,22,84,33594.96,7723.48,10011,2026-08-16,Y,2026-08-15,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101006,2026-08-16,100101,112,2026-08-16,6,136.6,MK,22,88,12020.8,2763.58,10011,2026-08-16,Y,2026-08-16,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101007,2026-08-17,100101,101,2026-08-17,7,112.51,MK,21,56,6300.56,1448.5,10012,2026-08-22,Y,2026-08-17,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101008,2026-08-18,100101,114,2026-08-18,8,86.25,MK,14,45,3881.25,892.3,10012,2026-08-22,Y,2026-08-18,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101009,2026-08-19,100101,115,2026-08-19,9,14.23,MK,29,89,1266.47,291.16,10012,2026-08-22,Y,2026-08-19,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101010,2026-08-20,100101,119,2026-08-20,10,159.92,MK,27,1,159.92,36.77,10012,2026-08-22,Y,2026-08-20,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101011,2026-08-21,100101,119,2026-08-21,11,333.51,MK,12,15,5002.65,1150.11,10012,2026-08-22,Y,2026-08-21,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101012,2026-08-22,100101,102,2026-08-22,12,173.94,MK,13,79,13741.26,3159.12,10012,2026-08-22,Y,2026-08-22,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101013,2026-08-23,100101,116,2026-08-23,13,88.24,MK,28,24,2117.76,486.87,10013,2026-08-28,Y,2026-08-23,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101014,2026-08-24,100101,120,2026-08-24,14,321.62,MK,21,44,14151.28,3253.38,10013,2026-08-28,Y,2026-08-24,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101015,2026-08-25,100101,116,2026-08-25,15,94.28,MK,24,42,3959.76,910.35,10013,2026-08-28,Y,2026-08-25,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101016,2026-08-26,100101,104,2026-08-26,16,321.96,MK,24,46,14810.16,3404.86,10013,2026-08-28,Y,2026-08-26,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101017,2026-08-27,100101,104,2026-08-27,17,431.99,MK,13,32,13823.68,3178.06,10013,2026-08-28,Y,2026-08-27,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101018,2026-08-28,100101,116,2026-08-28,18,259.68,MK,28,43,11166.24,2567.12,10013,2026-08-28,Y,2026-08-28,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101019,2026-08-29,100101,109,2026-08-29,19,232.06,MK,18,45,10442.7,2400.78,10014,2026-09-03,Y,2026-08-29,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101020,2026-08-30,100101,101,2026-08-30,20,302.92,MK,28,73,22113.16,5083.82,10014,2026-09-03,Y,2026-08-30,MOCKLOAD,2026-09-12 23:05:02
1001,501,100101021,2026-08-31,100101,119,2026-08-31,21,397.24,MK,24,22,8739.28,2009.16,10014,2026-09-03,Y,2026-08-31,MOCKLOAD,2026-09-12 23:05:02
